id,city,state,country,timestamp,source,aqi,pm25,pm10,no2,so2,co,o3,temperature,humidity,pressure,wind_speed,wind_direction,visibility,cloud_cover,precipitation,latitude,longitude,created_at,is_deleted
1.0,karachi,Sindh,Pakistan,2025-06-21T00:00:00,aqicn,74.4222867773391,25.54583389049999,42.42680432133436,25.15838729267528,11.715752996773784,1.38510360759943,50.459739761517,30.0,65.0,1013.0,10.0,180.0,10.0,30.0,0.0,24.8607,67.0011,2025-06-21T00:00:00.000000,0.0
2.0,karachi,Sindh,Pakistan,2025-06-21T01:00:00,aqicn,74.10646573833556,24.461144371982886,49.24647298650538,34.228181799978074,15.605783576088143,1.6147017298000828,44.29379506832902,30.0,65.0,1013.0,10.0,180.0,10.0,30.0,0.0,24.8607,67.0011,2025-06-21T01:00:00.000000,0.0
3.0,karachi,Sindh,Pakistan,2025-06-21T02:00:00,aqicn,70.43951184473244,25.326969593160207,55.552111659966585,20.60124149650368,6.232527627772448,1.5252549139228142,46.11274347718479,30.0,65.0,1013.0,10.0,180.0,10.0,30.0,0.0,24.8607,67.0011,2025-06-21T02:00:00.000000,0.0
4.0,karachi,Sindh,Pakistan,2025-06-21T03:00:00,aqicn,70.67065411360402,23.84386223926448,45.3999008732191,21.97150372431505,15.827436512210216,0.8079986743306754,31.380706794414216,30.0,65.0,1013.0,10.0,180.0,10.0,30.0,0.0,24.8607,67.0011,2025-06-21T03:00:00.000000,0.0
5.0,karachi,Sindh,Pakistan,2025-06-21T04:00:00,aqicn,70.0,24.37429668686586,45.83859203353919,31.68127039532112,17.431813137756848,1.8865306290950803,35.23694168396211,30.0,65.0,1013.0,10.0,180.0,10.0,30.0,0.0,24.8607,67.0011,2025-06-21T04:00:00.000000,0.0
6.0,karachi,Sindh,Pakistan,2025-06-21T05:00:00,aqicn,70.0,23.66532411174701,42.52143344990767,38.980333364456186,6.743619560043516,1.909909416525427,52.403520547583376,30.0,65.0,1013.0,10.0,180.0,10.0,30.0,0.0,24.8607,67.0011,2025-06-21T05:00:00.000000,0.0
7.0,karachi,Sindh,Pakistan,2025-06-21T06:00:00,aqicn,70.0,23.390201380084143,44.767973819566016,10.028799249008149,18.016857976008662,1.165980827307464,57.766941581135846,30.0,65.0,1013.0,10.0,180.0,10.0,30.0,0.0,24.8607,67.0011,2025-06-21T06:00:00.000000,0.0
8.0,karachi,Sindh,Pakistan,2025-06-21T07:00:00,aqicn,90.52241517621992,30.774992796905178,48.69829931808112,29.611393535655218,11.049878588539888,1.223997260269115,22.30507095190936,30.0,65.0,1013.0,10.0,180.0,10.0,30.0,0.0,24.8607,67.0011,2025-06-21T07:00:00.000000,0.0
9.0,karachi,Sindh,Pakistan,2025-06-21T08:00:00,aqicn,92.87665767457764,32.205387314821145,74.17180651149141,32.97748323081754,11.15160847486331,1.821951520088836,46.11444569512989,30.0,65.0,1013.0,10.0,180.0,10.0,30.0,0.0,24.8607,67.0011,2025-06-21T08:00:00.000000,0.0
10.0,karachi,Sindh,Pakistan,2025-06-21T09:00:00,aqicn,96.02528879341487,32.2846629825265,55.75064495891717,11.8151149169796,11.940627488508436,0.5665727937018492,39.04591750458326,30.0,65.0,1013.0,10.0,180.0,10.0,30.0,0.0,24.8607,67.0011,2025-06-21T09:00:00.000000,0.0
11.0,karachi,Sindh,Pakistan,2025-06-21T10:00:00,aqicn,96.63217175533624,33.14460074656255,53.22171171539538,22.829506578214414,15.027836371769318,1.8202970585426013,34.8103971172705,30.0,65.0,1013.0,10.0,180.0,10.0,30.0,0.0,24.8607,67.0011,2025-06-21T10:00:00.000000,0.0
12.0,karachi,Sindh,Pakistan,2025-06-21T11:00:00,aqicn,95.91439314582942,33.43235560732039,56.70595316592027,32.34438045494775,14.24870289502818,0.5312217966508119,26.815408021915665,30.0,65.0,1013.0,10.0,180.0,10.0,30.0,0.0,24.8607,67.0011,2025-06-21T11:00:00.000000,0.0
13.0,karachi,Sindh,Pakistan,2025-06-21T12:00:00,aqicn,96.46394251670527,32.38376888114588,60.10743020509606,29.270021588243868,11.902995260402516,1.4664613795243868,43.85176566950501,30.0,65.0,1013.0,10.0,180.0,10.0,30.0,0.0,24.8607,67.0011,2025-06-21T12:00:00.000000,0.0
14.0,karachi,Sindh,Pakistan,2025-06-21T13:00:00,aqicn,100.10497786123004,32.951786623135966,76.2065237522238,30.29026413248764,11.270071515154722,1.4340007525825964,32.132172977705906,30.0,65.0,1013.0,10.0,180.0,10.0,30.0,0.0,24.8607,67.0011,2025-06-21T13:00:00.000000,0.0
15.0,karachi,Sindh,Pakistan,2025-06-21T14:00:00,aqicn,103.02451613209688,33.29635855238457,59.7320767652338,31.39158212771124,13.35362663497948,1.1847239374883856,22.69800166544337,30.0,65.0,1013.0,10.0,180.0,10.0,30.0,0.0,24.8607,67.0011,2025-06-21T14:00:00.000000,0.0
16.0,karachi,Sindh,Pakistan,2025-06-21T15:00:00,aqicn,100.0780478293958,34.048191899826755,53.27101143457765,34.08444022634458,18.23513730959035,1.059572426009903,51.79655833857305,30.0,65.0,1013.0,10.0,180.0,10.0,30.0,0.0,24.8607,67.0011,2025-06-21T15:00:00.000000,0.0
17.0,karachi,Sindh,Pakistan,2025-06-21T16:00:00,aqicn,103.4524684565786,34.34441782749247,60.575099811986746,27.63530362666688,16.160235007222017,1.4491495395752765,20.877464316610144,30.0,65.0,1013.0,10.0,180.0,10.0,30.0,0.0,24.8607,67.0011,2025-06-21T16:00:00.000000,0.0
18.0,karachi,Sindh,Pakistan,2025-06-21T17:00:00,aqicn,108.40790612410603,34.420709750782,71.10506371586186,14.43908458015591,6.885891086939658,1.2973546377716312,50.12356775452776,30.0,65.0,1013.0,10.0,180.0,10.0,30.0,0.0,24.8607,67.0011,2025-06-21T17:00:00.000000,0.0
19.0,karachi,Sindh,Pakistan,2025-06-21T18:00:00,aqicn,103.98841956163275,36.22405656032048,73.32783236276902,32.21230080100519,9.957764120148909,1.721900147831663,48.61052976456155,30.0,65.0,1013.0,10.0,180.0,10.0,30.0,0.0,24.8607,67.0011,2025-06-21T18:00:00.000000,0.0
20.0,karachi,Sindh,Pakistan,2025-06-21T19:00:00,aqicn,110.83006393572984,36.45064675714889,70.3685472215442,12.511983696283622,11.965172426511344,1.1122503165127826,23.22480885055367,30.0,65.0,1013.0,10.0,180.0,10.0,30.0,0.0,24.8607,67.0011,2025-06-21T19:00:00.000000,0.0
21.0,karachi,Sindh,Pakistan,2025-06-21T20:00:00,aqicn,110.11605497333412,36.07449552309508,66.78404238867891,34.239412273116656,7.730420340218533,1.21981624748551,57.40215121861904,30.0,65.0,1013.0,10.0,180.0,10.0,30.0,0.0,24.8607,67.0011,2025-06-21T20:00:00.000000,0.0
22.0,karachi,Sindh,Pakistan,2025-06-21T21:00:00,aqicn,113.5,36.388020794490245,68.139826521392,24.22742308880245,12.452493750796656,1.810196357097343,51.26994366739139,30.0,65.0,1013.0,10.0,180.0,10.0,30.0,0.0,24.8607,67.0011,2025-06-21T21:00:00.000000,0.0
23.0,karachi,Sindh,Pakistan,2025-06-21T22:00:00,aqicn,70.0,23.5864343193434,39.3078699967976,30.468297675659084,13.401290776622094,0.6855424019090204,43.53043946460147,30.0,65.0,1013.0,10.0,180.0,10.0,30.0,0.0,24.8607,67.0011,2025-06-21T22:00:00.000000,0.0
